"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"20224","1426","1426","1426","0.5663","0.5663","0.5663"
"20303","1432","1432","1432","0.562","0.562","0.562"
"20382","1437","1437","1437","0.5707","0.5707","0.5707"
"20461","1443","1443","1443","0.5651","0.5651","0.5651"
"20540","1448","1448","1448","0.569","0.569","0.569"
"20619","1454","1454","1454","0.5689","0.5689","0.5689"
"20698","1459","1459","1459","0.5656","0.5656","0.5656"
"20777","1465","1465","1465","0.573","0.573","0.573"
"20856","1471","1471","1471","0.5744","0.5744","0.5744"
"20935","1476","1476","1476","0.5748","0.5748","0.5748"
"21014","1482","1482","1482","0.5716","0.5716","0.5716"
"21093","1487","1487","1487","0.5661","0.5661","0.5661"
"21172","1493","1493","1493","0.5711","0.5711","0.5711"
"21251","1499","1499","1499","0.5717","0.5717","0.5717"
"21330","1504","1504","1504","0.5718","0.5718","0.5718"
"21409","1510","1510","1510","0.5651","0.5651","0.5651"
"21488","1515","1515","1515","0.5769","0.5769","0.5769"
"21567","1521","1521","1521","0.5622","0.5622","0.5622"
"21646","1526","1526","1526","0.5622","0.5622","0.5622"
"21725","1532","1532","1532","0.5723","0.5723","0.5723"
"21804","1538","1538","1538","0.5674","0.5674","0.5674"
"21883","1543","1543","1543","0.5656","0.5656","0.5656"
"21962","1549","1549","1549","0.57","0.57","0.57"
"22041","1554","1554","1554","0.5685","0.5685","0.5685"
"22120","1560","1560","1560","0.5702","0.5702","0.5702"
"22199","1565","1565","1565","0.5741","0.5741","0.5741"
"22278","1571","1571","1571","0.5756","0.5756","0.5756"
"22357","1577","1577","1577","0.5747","0.5747","0.5747"
"22436","1582","1582","1582","0.5724","0.5724","0.5724"
"22515","1588","1588","1588","0.5722","0.5722","0.5722"
"22594","1593","1593","1593","0.57","0.57","0.57"
"22673","1599","1599","1599","0.5687","0.5687","0.5687"
"22752","1605","1605","1605","0.5781","0.5781","0.5781"
