"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"28677","2023","2023","2023","0.6004","0.6004","0.6004"
"28756","2029","2029","2029","0.5917","0.5917","0.5917"
"28835","2034","2034","2034","0.5902","0.5902","0.5902"
"28914","2040","2040","2040","0.5936","0.5936","0.5936"
"28993","2045","2045","2045","0.5963","0.5963","0.5963"
"29072","2051","2051","2051","0.5905","0.5905","0.5905"
"29151","2057","2057","2057","0.5946","0.5946","0.5946"
"29230","2062","2062","2062","0.5971","0.5971","0.5971"
"29309","2068","2068","2068","0.5935","0.5935","0.5935"
"29388","2073","2073","2073","0.5905","0.5905","0.5905"
"29467","2079","2079","2079","0.5959","0.5959","0.5959"
"29546","2084","2084","2084","0.6019","0.6019","0.6019"
"29625","2090","2090","2090","0.5971","0.5971","0.5971"
"29704","2096","2096","2096","0.5918","0.5918","0.5918"
"29783","2101","2101","2101","0.5989","0.5989","0.5989"
"29862","2107","2107","2107","0.5959","0.5959","0.5959"
"29941","2112","2112","2112","0.5909","0.5909","0.5909"
"30020","2118","2118","2118","0.5913","0.5913","0.5913"
"30099","2123","2123","2123","0.5894","0.5894","0.5894"
"30178","2129","2129","2129","0.5977","0.5977","0.5977"
"30257","2135","2135","2135","0.5926","0.5926","0.5926"
"30336","2140","2140","2140","0.5954","0.5954","0.5954"
"30415","2146","2146","2146","0.5954","0.5954","0.5954"
"30494","2151","2151","2151","0.5981","0.5981","0.5981"
"30573","2157","2157","2157","0.5994","0.5994","0.5994"
"30652","2163","2163","2163","0.5976","0.5976","0.5976"
"30731","2168","2168","2168","0.5981","0.5981","0.5981"
"30810","2174","2174","2174","0.5975","0.5975","0.5975"
"30889","2179","2179","2179","0.5978","0.5978","0.5978"
"30968","2185","2185","2185","0.6001","0.6001","0.6001"
"31047","2190","2190","2190","0.5941","0.5941","0.5941"
"31126","2196","2196","2196","0.6011","0.6011","0.6011"
"31205","2202","2202","2202","0.595","0.595","0.595"
"31284","2207","2207","2207","0.5967","0.5967","0.5967"
"31363","2213","2213","2213","0.5991","0.5991","0.5991"
"31442","2218","2218","2218","0.5998","0.5998","0.5998"
"31521","2224","2224","2224","0.6001","0.6001","0.6001"
"31600","2230","2230","2230","0.5968","0.5968","0.5968"
"31679","2235","2235","2235","0.5929","0.5929","0.5929"
"31758","2241","2241","2241","0.5945","0.5945","0.5945"
"31837","2246","2246","2246","0.5991","0.5991","0.5991"
"31916","2252","2252","2252","0.5981","0.5981","0.5981"
"31995","2257","2257","2257","0.5985","0.5985","0.5985"
"32074","2263","2263","2263","0.5933","0.5933","0.5933"
"32153","2269","2269","2269","0.5955","0.5955","0.5955"
"32232","2274","2274","2274","0.5926","0.5926","0.5926"
"32311","2280","2280","2280","0.5956","0.5956","0.5956"
"32390","2285","2285","2285","0.5998","0.5998","0.5998"
"32469","2291","2291","2291","0.601","0.601","0.601"
"32548","2296","2296","2296","0.5994","0.5994","0.5994"
